go_id	go	gene_id
GB41623	GO:0008061	LOC100577362
GB41624	GO:0005576	LOC727129
GB41624	GO:0006030	LOC727129
GB41624	GO:0008061	LOC727129
GB41625	GO:0005576	LOC552724
GB41625	GO:0006030	LOC552724
GB41625	GO:0008061	LOC552724
GB41629	GO:0005003	EphR
GB41629	GO:0005524	EphR
GB41629	GO:0005887	EphR
GB41631	GO:0003735	LOC727128
GB41631	GO:0005840	LOC727128
GB41631	GO:0006412	LOC727128
GB41634	GO:0000184	LOC727185
GB41634	GO:0004674	LOC727185
GB41634	GO:0005524	LOC727185
GB41639	GO:0003682	LOC727238
GB41639	GO:0005634	LOC727238
GB41639	GO:0008270	LOC727238
GB41639	GO:0018024	LOC727238
GB41640	GO:0005525	LOC410561
GB41640	GO:0005622	LOC410561
GB41640	GO:0007264	LOC410561
GB41641	GO:0003824	LOC727254
GB41641	GO:0016021	LOC727254
GB41643	GO:0004930	Blop
GB41643	GO:0007602	Blop
GB41643	GO:0009881	Blop
GB41643	GO:0016021	Blop
GB41643	GO:0018298	Blop
GB41643	GO:0050908	Blop
GB41645	GO:0004725	LOC413569
GB41645	GO:0016021	LOC413569
GB41646	GO:0016021	LOC410567
GB41646	GO:0046873	LOC410567
GB41647	GO:0000981	LOC727287
GB41649	GO:0008270	43165
GB41649	GO:0016021	43165
GB41651	GO:0006520	LOC409253
GB41651	GO:0016491	LOC409253
GB41653	GO:0016021	LOC727311
GB41654	GO:0003677	LOC412296
GB41654	GO:0046872	LOC412296
GB41657	GO:0016021	LOC100576530
GB41658	GO:0016021	LOC100576461
GB41659	GO:0004222	LOC408500
GB41659	GO:0016021	LOC408500
GB41661	GO:0005576	LOC727335
GB41661	GO:0040007	LOC727335
GB41662	GO:0003676	LOC413285
GB41662	GO:0008270	LOC413285
GB41663	GO:0005623	LOC727309
GB41663	GO:0009055	LOC727309
GB41663	GO:0015035	LOC727309
GB41663	GO:0045454	LOC727309
GB41664	GO:0004623	LOC409614
GB41664	GO:0005509	LOC409614
GB41664	GO:0005576	LOC409614
GB41664	GO:0006644	LOC409614
GB41664	GO:0016042	LOC409614
GB41668	GO:0004540	LOC408501
GB41668	GO:0004672	LOC408501
GB41668	GO:0005524	LOC408501
